manufacturer,model,price,year,condition,cylinders,fuel,odometer,transmission,odometer_km
Toyota,Camry Le,9995,2012,,4 ,gas,138291.0,automatic,222557
Toyota,Rav4,8990,2005,,4 ,gas,176597.0,manual,284204
Honda,Odyssey Touring,8995,2006,,6 ,gas,139414.0,automatic,224364
Toyota,Tundra Sr5,9995,2006,,8 ,gas,227912.0,automatic,366787
Toyota,Sequoia Limited,7995,2003,,8 ,gas,188409.0,automatic,303214
Toyota,Highlander,14500,2013,excellent,4 ,gas,106000.0,automatic,170590
Toyota,"Highlander Limited Platinum Awd, W/ Panorama Roof",32999,2017,,6 ,gas,70239.0,automatic,113038
Toyota,Rav4 Se Awd W/ Leather,23999,2018,,4 ,gas,69426.0,automatic,111730
Honda,Civic Type R Touring,39590,2019,good,,gas,2066.0,other,3324
Toyota,Tundra Crewmax Sr5 Pickup,38990,2019,good,8 ,gas,15520.0,other,24976
Honda,Ridgeline Sport Pickup 4D,30590,2019,good,,other,23645.0,other,38052
Toyota,Highlander Sport,18495,2013,excellent,,gas,89131.0,automatic,143442
Toyota,Tundra,17995,2012,,,gas,206456.0,automatic,332257
Toyota,Camry,9000,2012,good,4 ,gas,166600.0,automatic,268116
Toyota,Camry Le W/ Navigation System,20999,2018,,4 ,gas,61292.0,automatic,98639
Toyota,Avalon Limited W/ Navigation / Moon Roof,8999,2006,,6 ,gas,131822.0,automatic,212146
Toyota,4Runner Trd Off Road,36995,2018,excellent,6 ,gas,115564.0,automatic,185981
Honda,Accord Ex,14995,2015,excellent,4 ,gas,106509.0,automatic,171409
Honda,Civic Ex,9995,2012,excellent,4 ,gas,104787.0,automatic,168637
Toyota,Tacoma,9300,1999,good,4 ,gas,85000.0,automatic,136793
Honda,Accord,16750,2013,excellent,4 ,gas,47250.0,automatic,76041
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Honda,"Cr-V, Ex Model",5000,2005,good,4 ,gas,191000.0,manual,307383
Toyota,T100,6200,1996,,,gas,227000.0,automatic,365320
Toyota,Tacoma 4X4,15000,2003,good,6 ,gas,182000.0,manual,292899
Toyota,4Runner,12995,2003,excellent,,gas,196801.0,automatic,316719
Toyota,Tundra,12995,2005,excellent,,gas,181555.0,automatic,292183
Toyota,Tacoma,10995,2001,excellent,,gas,256887.0,manual,413418
Toyota,Sienna,8995,2005,excellent,,gas,133619.0,automatic,215038
Toyota,Camry,8990,2013,like new,4 ,gas,140000.0,automatic,225307
Honda,Civic Ngv W/Navi,10995,2012,excellent,4 ,other,65728.0,automatic,105778
Toyota,Tundra,24997,2010,,,gas,124150.0,automatic,199799
Toyota,Camry Se,10988,2012,,4 ,gas,135868.0,automatic,218657
Toyota,Tacoma 2Dr Xtracab,12988,2004,,4 ,gas,148693.0,manual,239297
Toyota,Tundra Double Cab Sr,37990,2016,good,8 ,gas,22870.0,other,36805
Toyota,Tundra Double Cab Sr5,39990,2020,good,8 ,gas,6932.0,other,11155
Toyota,Tundra Double Cab Sr5,39990,2020,good,8 ,gas,15096.0,other,24294
Toyota,Camry Le W/ Navigation System,20999,2018,,4 ,gas,61292.0,automatic,98639
Toyota,"Highlander Limited Platinum Awd, W/ Panorama Roof",32999,2017,,6 ,gas,70239.0,automatic,113038
Toyota,Rav4 Se Awd W/ Leather,23999,2018,,4 ,gas,69426.0,automatic,111730
Toyota,Tundra Limited 4X4,19995,2008,,8 ,gas,191333.0,automatic,307919
Toyota,Avalon Limited W/ Navigation / Moon Roof,8999,2006,,6 ,gas,131822.0,automatic,212146
Honda,Element Sc,7995,2007,,4 ,gas,198910.0,automatic,320113
Toyota,Tundra Sr5,9995,2006,,8 ,gas,227912.0,automatic,366787
Toyota,Tacoma Double Cab Pickup,29990,2012,good,6 ,gas,43182.0,other,69494
Toyota,4Runner Limited Sport,38990,2019,good,,other,11877.0,other,19114
Toyota,Tacoma V6 1-Oregon Owner*Zero Rust*4X4*Trd Off Road*45 Service Records*Like New In&Out*Rear Lockers*Never Off Road*Zero Accidents,23997,2012,,6 ,gas,165417.0,automatic,266212
Toyota,Fj Cruiser,24999,2007,,6 ,gas,99000.0,automatic,159324
Toyota,"Land Cruiser 1-Owner*Full Custom Build*Never Off Road*New Lift*New 33"" Yokohama X-Ats*New 18"" Black Rhino Wheels*Center Council Cooler*360 Camera*Chrome Delete",74997,2018,,8 ,gas,57269.0,automatic,92165
Honda,Accord Ex,7995,2009,fair,4 ,gas,162134.0,automatic,260928
Toyota,Fj Cruiser,23999,2007,,6 ,gas,113000.0,automatic,181855
Toyota,Corolla Le,8995,2012,excellent,4 ,gas,133713.0,automatic,215189
Toyota,Gr Supra,51995,2020,excellent,,gas,8978.0,automatic,14448
Toyota,Camry Se,15995,2017,,,gas,103514.0,automatic,166589
Toyota,Prius Hatchback,14995,2015,,,gas,46407.0,automatic,74684
Toyota,Tundra,27999,2013,,8 ,gas,91000.0,automatic,146449
Toyota,Tundra,29999,2011,,8 ,gas,58000.0,automatic,93341
Toyota,Fj Cruiser,25999,2007,,6 ,gas,99000.0,manual,159324
Toyota,Tundra,27999,2008,,8 ,gas,56000.0,automatic,90123
Toyota,4Runner,21999,2006,,6 ,gas,59000.0,automatic,94951
Toyota,Highlander Plus,16998,2013,excellent,6 ,gas,100451.0,automatic,161659
Honda,Fit Sport Hatchback 4D,14590,2013,good,,gas,33246.0,other,53504
Toyota,"4Runner Trd Off-Road Premium New Bilstein-Toytec Lift*New 17""Trd Pro Wheels*New 33"" Yokohama Geolander Goo3 M/T Tires*Tyger Rock Sliders*Tyger Roof Basket*Leather*Nav*Back Up Cam",47997,2018,,6 ,gas,38512.0,automatic,61978
Toyota,4Runner Sr5 Premium 25K In Add Ons And Modifications * Overland 4X4 Ready* All Keys*Remote Start* Full Icon Lift Set Up* Full Gobi Roof Rack Set Up W/ Tent* Upgraded Sound,42997,2015,,6 ,gas,79355.0,automatic,127709
Toyota,Tundra,23995,2008,,,gas,102545.0,automatic,165029
Toyota,Tacoma,13995,2008,,,gas,91332.0,automatic,146984
Toyota,Sienna,8995,2006,,,gas,130201.0,automatic,209537
Honda,Fit,8995,2015,,,gas,130430.0,automatic,209906
Toyota,Tundra,23995,2008,,,gas,102545.0,automatic,165029
Toyota,Camry Le W/ Navigation System,20999,2018,,4 ,gas,61292.0,automatic,98639
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Avalon Limited W/ Navigation / Moon Roof,8999,2006,,6 ,gas,131822.0,automatic,212146
Toyota,"Tacoma V6 4Dr Double Cab 1-Oregon Owner* Rust & Accident Free*Timing Belt Service Done*New Full Buid*Bilstein Lift*New 33""Yokohama Goo3*New 17""Mk6 Wheels*Like New In & Out",25997,2004,,6 ,gas,155503.0,automatic,250257
Toyota,Fj Cruiser Upgrade Pkg 2*Convenience Pkg*Preferred Premium Accessory Pkg*Roof Rack*Rear Lockers*Rust Free*Level Lifted*Black Out Pkg,25997,2010,,6 ,gas,143616.0,automatic,231126
Toyota,"Tacoma Trd Off-Road Full Ads Coil Over Adjustable Resivoirs Kit* Koning Ultra Light 17""Wheels*Bfg Ko2 Tires*Trd Off Road*Camburg Upper Control Arms*Trd Pro Grill & Roof Rack*Nav*Tech Pkg*",44997,2018,,6 ,gas,25053.0,automatic,40318
Toyota,"Tacoma Trd Off-Road Full Ads Coil Over Adjustable Resivoirs Kit* Koning Ultra Light 17""Wheels*Bfg Ko2 Tires*Trd Off Road*Camburg Upper Control Arms*Trd Pro Grill & Roof Rack*Nav*Tech Pkg*",44997,2018,,6 ,gas,25053.0,automatic,40318
Toyota,Sienna Le,5950,1998,excellent,6 ,gas,146174.0,automatic,235243
Toyota,Sienna,8995,2006,,,gas,130201.0,automatic,209537
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Avalon Limited W/ Navigation / Moon Roof,8999,2006,,6 ,gas,131822.0,automatic,212146
Toyota,Rav4 Hybrid Le Sport,27590,2019,good,,hybrid,11876.0,other,19112
Honda,Civic Lx Coupe 2D,19590,2018,good,,gas,35931.0,other,57825
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Toyota,Tundra 1794 Edition 1-Owner* Local Oregon Truck Since New* Blind Spot* 2-Keys* Non Smoker* Like New In & Out* New Brakes And Service,37997,2015,,8 ,gas,114910.0,automatic,184929
Toyota,Tacoma Access Cab,21990,2013,good,,gas,51184.0,other,82372
Honda,Ridgeline Rtl,7995,2007,good,6 ,gas,218633.0,automatic,351854
Honda,Accord,6907,2007,excellent,6 ,gas,163105.0,automatic,262491
Honda,Civic Lxs,9910,2010,excellent,4 ,gas,109534.0,automatic,176277
Toyota,Camry Le W/ Navigation System,19999,2018,,4 ,gas,61292.0,automatic,98639
Toyota,Camry,4478,2001,,4 ,gas,150975.0,manual,242970
Toyota,Tacoma,12995,2001,excellent,,gas,217899.0,automatic,350673
Toyota,Tundra,12995,2005,excellent,,gas,181555.0,automatic,292183
Toyota,Tacoma,10995,2001,excellent,,gas,256887.0,manual,413418
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Honda,Accord,6907,2007,excellent,6 ,gas,163105.0,automatic,262491
Honda,Element,8988,2006,excellent,,gas,177190.0,automatic,285158
Honda,Element,9988,2004,excellent,,gas,138268.0,automatic,222520
Honda,Civic,9288,2014,excellent,,gas,114148.0,automatic,183702
Honda,Element,6988,2003,excellent,,gas,143004.0,automatic,230142
Toyota,Prius V,10988,2014,excellent,,hybrid,109591.0,automatic,176369
Honda,Civic,14288,2016,excellent,,gas,45185.0,automatic,72718
Honda,Odyssey,7999,2007,excellent,,gas,113051.0,automatic,181937
Honda,Fit,15488,2018,excellent,,gas,18468.0,automatic,29721
Toyota,Avalon,7999,2005,excellent,,gas,112048.0,automatic,180323
Honda,Accord,8800,2008,excellent,,gas,114563.0,automatic,184370
Toyota,"4Runner Sr5 Sport* Full New Build* New Bilstein Toytec Lift* New 33"" Bf Goodrich Ko2 Tires*New 17"" Black Rhino Wheels*New Timing Belt &Water Pump* Full Service*Like New In & Out",19997,2001,,6 ,gas,235351.0,automatic,378759
Toyota,"Highlander Limited Platinum Awd, W/ Panorama Roof",32999,2017,,6 ,gas,70239.0,automatic,113038
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Tundra Sr5,31995,2017,excellent,8 ,gas,57331.0,automatic,92265
Honda,Odyssey,18995,2015,,6 ,gas,95340.0,automatic,153434
Toyota,Fj Cruiser,25999,2008,,6 ,gas,95000.0,automatic,152887
Toyota,Tacoma,24999,2007,,4 ,gas,110000.0,manual,177027
Honda,Element Sc,7995,2007,,4 ,gas,198910.0,automatic,320113
Honda,Cr-V Ex-L,7995,2007,,4 ,gas,196695.0,automatic,316549
Honda,Odyssey Touring,8995,2006,,6 ,gas,139414.0,automatic,224364
Toyota,Rav4,8990,2005,,4 ,gas,176597.0,manual,284204
Toyota,Tundra Sr5,9995,2006,,8 ,gas,227912.0,automatic,366787
Toyota,Sequoia Limited,7995,2003,,8 ,gas,188409.0,automatic,303214
Toyota,Camry Le,0,2012,,4 ,gas,138291.0,automatic,222557
Toyota,Fj Cruiser,24999,2007,,6 ,gas,99000.0,automatic,159324
Toyota,Fj Cruiser,32995,2011,,,gas,124670.0,automatic,200636
Honda,Odyssey,6988,2006,excellent,6 ,gas,83407.0,automatic,134230
Toyota,Tundra,47995,2020,excellent,,gas,8610.0,automatic,13856
Honda,Accord,23995,2018,excellent,,gas,58571.0,automatic,94260
Toyota,Fj Cruiser,23999,2007,,6 ,gas,113000.0,automatic,181855
Toyota,"Sequoia Limited Local Oregon Rust Free* New Bilstein Lift*New 35"" Mastercraft Tires* New Oem Trd Wheels* New Tiger Xl Basket* Chrome Delete Pkg* Color Matched Door Handles And Grill",25997,2010,,8 ,gas,167317.0,automatic,269269
Toyota,"Highlander Limited Platinum Awd, W/ Panorama Roof",32999,2017,,6 ,gas,70239.0,automatic,113038
Toyota,Camry Le W/ Navigation System,19999,2018,,4 ,gas,61292.0,automatic,98639
Toyota,Camry Xse W/ Bird'S Eye View Cameras,26999,2018,,4 ,gas,41392.0,automatic,66613
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Honda,Fit Sport Hatchback 4D,13590,2013,good,,gas,90019.0,other,144871
Toyota,"4Runner 1-Arizona Owner*0-Rust*New Bilstein Toytec Lift*New 33""Yokohama M/T*New Black Rhino Wheels* 3Rd Seat*Nav*Black Out Pkg*0-Accidents",38997,2018,,6 ,gas,95164.0,automatic,153151
Toyota,Prius Hatchback,14995,2015,,,gas,46407.0,automatic,74684
Toyota,Camry Se,15995,2017,,,gas,103514.0,automatic,166589
Toyota,Tacoma Prerunner Truck,10999,2002,excellent,4 ,gas,163204.0,automatic,262650
Toyota,"4Runner Sport Edition 4Dr Suv 1-Oregon Owner*Rust Free* New Bilstein Lift*New 33""Yokohama Geolanders*New Mk6 Wheels*No Accidents*Tyger Roof Basket*All Records Since New",21997,2007,,6 ,gas,171525.0,automatic,276042
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Rav4 Se Awd W/ Leather,23999,2018,,4 ,gas,69426.0,automatic,111730
Toyota,4Runner,31999,2016,excellent,6 ,gas,103345.0,automatic,166317
Toyota,Sequoia,12999,2005,excellent,8 ,gas,138189.0,automatic,222393
Toyota,Highlander,8999,2006,excellent,6 ,gas,158479.0,automatic,255046
Toyota,4Runner,11999,2005,excellent,6 ,gas,185956.0,automatic,299266
Honda,Civic Cpe,14999,2013,excellent,4 ,gas,87931.0,manual,141510
Toyota,Prius,9500,2012,like new,,hybrid,94000.0,automatic,151277
Honda,Civic Si Sedan 4D,24590,2019,good,,gas,40319.0,other,64886
Toyota,Rav4 Hybrid Le Sport,25990,2018,good,,gas,15486.0,other,24922
Toyota,Tundra Limited 4X4,18500,2007,,,gas,205000.0,automatic,329914
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Honda,Civic,1500,2001,good,4 ,gas,183006.0,automatic,294518
Honda,Cr-V Se,14995,2016,excellent,4 ,gas,107234.0,automatic,172575
Toyota,Tacoma Regular Cab 2Wd,7995,2007,good,4 ,gas,1.0,manual,1
Honda,Accord,4300,2004,,,gas,130000.0,automatic,209214
Toyota,Camry Xse W/ Bird'S Eye View Cameras,26999,2018,,4 ,gas,41392.0,automatic,66613
Toyota,Camry Le W/ Navigation System,19999,2018,,4 ,gas,61292.0,automatic,98639
Toyota,Corolla Hatchback Se,20999,2019,,4 ,gas,5490.0,automatic,8835
Toyota,Prius Two Hatchback 4D,10495,2013,excellent,4 ,hybrid,115603.0,automatic,186044
Toyota,Camry,5200,2008,good,4 ,gas,141000.0,automatic,226916
Honda,Civic Lx,9995,2013,excellent,4 ,gas,82070.0,automatic,132078
Honda,Civic,6500,2008,like new,4 ,gas,169000.0,automatic,271978
Honda,Odyssey Ex-L,12995,2011,excellent,6 ,gas,111559.0,automatic,179536
Honda,Accord Ex-L Sedan 4D,20990,2015,good,,gas,11410.0,other,18362
Toyota,Corolla Le Sedan 4D,20590,2020,good,,gas,1688.0,other,2716
Toyota,Camry Xse Sedan 4D,20590,2017,good,,other,7486.0,other,12047
Honda,Civic,3500,2006,,,gas,189000.0,automatic,304165
Toyota,Camry Xse W/ Bird'S Eye View Cameras,26999,2018,,4 ,gas,41392.0,automatic,66613
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Tacoma V6 4Dr Double Cab 1-Owner* Rust Free*Arizona Truck Since New* 6-Speed Manual*Rear Lockers*Trd Off Road*Leveling Kit*Rear Air Bags* Zero Accidents* All Records Since New,29997,2005,,6 ,gas,96564.0,manual,155404
Toyota,Tundra Sr5,15990,2007,,8 ,gas,268866.0,automatic,432696
Toyota,Tundra Sr5,9995,2006,,8 ,gas,227912.0,automatic,366787
Toyota,Tacoma Sr5 Double Cab,21767,2013,excellent,4 ,gas,112357.0,automatic,180820
Honda,Fit,6995,2009,,,gas,117513.0,automatic,189118
Toyota,Sequoia,10995,2005,,8 ,gas,177496.0,automatic,285651
Toyota,4Runner Sr5 Sport Utility,28990,2018,good,6 ,gas,62819.0,other,101097
Honda,Cr-V Ex-L 4Wd 5-Speed At,14995,2012,excellent,4 ,gas,99090.0,automatic,159469
Toyota,Tundra,23995,2008,,,gas,102545.0,automatic,165029
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Toyota,Tundra,27999,2013,,8 ,gas,91000.0,automatic,146449
Toyota,Tundra,29999,2011,,8 ,gas,58000.0,automatic,93341
Toyota,4Runner,18999,2006,,6 ,gas,94000.0,automatic,151277
Toyota,Avalon,8995,2006,excellent,,gas,127620.0,automatic,205383
Toyota,Tundra,24999,2010,,8 ,gas,127000.0,automatic,204386
Toyota,Fj Cruiser,25999,2008,,6 ,gas,95000.0,automatic,152887
Toyota,Tacoma,24999,2007,,4 ,gas,110000.0,manual,177027
Toyota,Camry Se,15995,2017,,,gas,103514.0,automatic,166589
Toyota,Prius Hatchback,14995,2015,,,gas,46407.0,automatic,74684
Toyota,Corolla,9900,2012,,4 ,gas,127798.0,automatic,205670
Toyota,Fj Cruiser,24999,2007,,6 ,gas,99000.0,automatic,159324
Toyota,Prius Two Hatchback 4D,14990,2015,good,,gas,86887.0,other,139830
Honda,Odyssey,30000,2016,like new,6 ,gas,9450.0,automatic,15208
Honda,Civic Lxs,9910,2010,excellent,4 ,gas,109534.0,automatic,176277
Toyota,Highlander Hybrid Limited,8995,2006,,6 ,gas,195236.0,automatic,314201
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Tundra 4Wd,0,2019,,8 ,gas,34807.0,automatic,56016
Toyota,Venza Fwd 4Cyl,11995,2011,,4 ,gas,124774.0,automatic,200803
Honda,Odyssey Touring,8995,2006,,6 ,gas,139414.0,automatic,224364
Honda,Civic,1800,2001,fair,,gas,232664.0,automatic,374435
Toyota,Tacoma 2Dr Xtracab,12988,2004,excellent,4 ,gas,148693.0,manual,239297
Toyota,Tacoma,32995,2015,excellent,6 ,gas,68564.0,automatic,110342
Honda,Fit Hatchback 4D,12990,2012,good,,gas,60960.0,other,98105
Toyota,Tacoma,13995,2008,,,gas,91332.0,automatic,146984
Toyota,Corolla Hatchback Se,20999,2019,,4 ,gas,5490.0,automatic,8835
Honda,"Pilot Ex-L Awd, 3Rd Row Seating",16999,2011,,6 ,gas,119816.0,automatic,192824
Toyota,Camry Xse W/ Bird'S Eye View Cameras,26999,2018,,4 ,gas,41392.0,automatic,66613
Honda,Pilot,0,2012,,,gas,86545.0,automatic,139280
Toyota,Corolla,5485,2005,excellent,,gas,173210.0,automatic,278753
Toyota,Rav4 Hybrid Le Sport,31590,2020,good,,other,4510.0,other,7258
Honda,Civic Lx Coupe 2D,14990,2015,good,,gas,77726.0,other,125087
Toyota,4Runner,11999,2005,excellent,6 ,gas,185956.0,automatic,299266
Toyota,Tacoma Trd Off-Road,36500,2017,like new,6 ,gas,49150.0,automatic,79099
Toyota,4Runner Limited 4X4,14995,2005,excellent,,gas,204734.0,automatic,329486
Honda,Insight,4000,2010,good,4 ,hybrid,155146.0,automatic,249682
Toyota,Tundra Limited 4X4,13000,2002,,,gas,206740.0,automatic,332714
Toyota,Tundra Sr5 4X4,28995,2011,excellent,,gas,130495.0,automatic,210010
Honda,Civic Ex Sedan,19000,2018,like new,4 ,gas,39500.0,automatic,63568
Honda,Accord,14400,2015,excellent,4 ,gas,83000.0,automatic,133575
Toyota,Tacoma 4X4,34500,2017,like new,6 ,gas,21500.0,automatic,34600
Toyota,Prius,8999,2011,,,other,136817.0,automatic,220185
Honda,Ridgeline 4Wd,9,2006,excellent,6 ,gas,156211.0,automatic,251396
Toyota,4Runner Sr5 Sport Awd,10,2007,excellent,6 ,gas,120521.0,automatic,193959
Toyota,Tundra,3500,2000,good,,gas,325152.0,automatic,523280
Toyota,4Runner,6500,2000,excellent,6 ,gas,297240.0,automatic,478360
Honda,Accord Ex,5000,2007,good,4 ,gas,119000.0,automatic,191511
Toyota,Highlander Limited,24100,2016,good,6 ,gas,107000.0,automatic,172199
Toyota,Prius Four Touring,24590,2017,good,,other,6008.0,other,9668
Honda,Insight Touring Sedan 4D,25990,2019,good,,hybrid,16069.0,other,25860
Toyota,Prius Prime Plus,24990,2019,good,,gas,8629.0,other,13886
Honda,Civic,2000,1992,good,4 ,gas,248000.0,manual,399116
Toyota,Corolla,2000,2001,fair,4 ,gas,231695.0,automatic,372876
Honda,Civic Hatchback Sport,0,2018,good,,gas,47397.0,automatic,76277
Toyota,Yaris L,10990,2015,excellent,4 ,gas,90873.0,automatic,146245
Toyota,4Runner,0,2002,excellent,6 ,gas,185818.0,automatic,299044
Toyota,4Runner,0,2000,excellent,6 ,gas,182926.0,other,294390
Toyota,Tundra,14995,2000,excellent,8 ,gas,148118.0,automatic,238372
Toyota,Tacoma,28000,2017,excellent,6 ,gas,74000.0,automatic,119091
Honda,Fit Ex-L,13990,2015,excellent,4 ,gas,80859.0,automatic,130129
Honda,Civic,1500,2002,fair,4 ,gas,285360.0,manual,459241
Toyota,Camry,850,1998,fair,4 ,gas,275000.0,automatic,442568
Toyota,Prius,8000,2008,good,4 ,gas,51400.0,automatic,82720
Toyota,Camry Le Wagon,300,1992,fair,4 ,gas,300000.0,automatic,482802
Toyota,Tundra,51603,2017,,,other,38550.0,automatic,62040
Honda,Ridgeline 4Wd,9,2006,excellent,6 ,gas,156211.0,automatic,251396
Honda,Pilot,14823,2013,,,gas,145833.0,automatic,234694
Toyota,Highlander Limited,5,2003,excellent,6 ,gas,195023.0,automatic,313858
Honda,Accord,6800,2008,good,6 ,gas,177.0,automatic,284
Toyota,Tundra,55075,2019,,,other,22538.0,automatic,36271
Toyota,4Runner Sr5 Sport Awd,8,2007,excellent,6 ,gas,120521.0,automatic,193959
Honda,Accord Ex 4Cyl,5950,2006,excellent,4 ,gas,209000.0,automatic,336352
Toyota,Matrix Xr Hatchback,5950,2003,excellent,4 ,gas,202000.0,automatic,325086
Honda,Crv Awd,5500,2004,excellent,4 ,gas,204000.0,automatic,328305
Toyota,4Runner,18900,2008,excellent,6 ,gas,74000.0,automatic,119091
Honda,Accord,24991,2018,,,gas,29152.0,automatic,46915
Toyota,Camry,26944,2018,,,other,34819.0,automatic,56035
Honda,Cr-V,2850,2002,good,4 ,gas,242785.0,automatic,390723
Honda,Ridgeline Rtl Pickup 4D 5,36990,2019,good,6 ,gas,5128.0,other,8252
Toyota,Sienna Xle Minivan 4D,36590,2020,good,6 ,gas,16887.0,other,27176
Honda,Civic Lx,17990,2018,excellent,4 ,gas,32641.0,automatic,52530
Toyota,Tacoma,38912,2016,,,other,64567.0,automatic,103910
Toyota,Camry,24991,2018,,,gas,34584.0,automatic,55657
Honda,Accord,26984,2018,,,other,30844.0,automatic,49638
Honda,Accord,20991,2017,,,gas,74151.0,automatic,119334
Honda,Accord,7000,2007,excellent,4 ,gas,104000.0,automatic,167371
Toyota,Highlander Le Plus V6,24500,2015,excellent,6 ,gas,58875.0,automatic,94749
Honda,Fit Sport Hatchback 4D,20990,2020,good,,gas,1668.0,other,2684
Honda,Civic Si Coupe 2D,24990,2018,good,,other,31547.0,other,50769
Honda,Accord,3000,2000,good,4 ,gas,200700.0,manual,322994
Toyota,Mr2,16995,2003,like new,4 ,gas,39800.0,manual,64051
Toyota,Sienna Limited,18995,2013,,,gas,101413.0,automatic,163207
Toyota,Tacoma,10995,2002,excellent,4 ,gas,218858.0,manual,352216
Toyota,4Runner Sr5 4X4,7999,2000,,6 ,gas,328499.0,automatic,528666
Honda,Accord Ex-L,21990,2016,excellent,4 ,gas,42054.0,automatic,67679
Honda,Accord Sport Se,20990,2017,excellent,4 ,gas,32381.0,automatic,52112
Toyota,Tacoma Access Cab Trd 4X4,14500,2006,excellent,6 ,gas,208600.0,automatic,335708
Honda,Accord Ex-L V6 With Navi,7990,2005,excellent,6 ,gas,95008.0,automatic,152900
Toyota,Prius,10000,2009,excellent,4 ,hybrid,78475.0,automatic,126292
Toyota,Corolla,6850,2009,excellent,4 ,gas,122000.0,automatic,196339
Toyota,Corolla,850,2003,,,gas,0.0,automatic,0
Honda,Civic,25991,2019,,,gas,20153.0,automatic,32433
Toyota,Tundra Sr5 4X4,10000,2003,excellent,8 ,gas,286000.0,automatic,460271
Toyota,Sienna,11995,2011,,,gas,143064.0,automatic,230238
Toyota,Tundra,15991,2005,,,gas,118884.0,automatic,191324
Honda,Civic,24931,2018,,,other,58827.0,manual,94672
Honda,Cr-V,11950,2011,excellent,4 ,gas,139440.0,automatic,224406
Toyota,Tundra,51603,2017,,,other,38550.0,automatic,62040
Toyota,Matrix Xr Hatchback,5950,2003,excellent,4 ,gas,202000.0,automatic,325086
Honda,Crv Awd,5500,2004,excellent,4 ,gas,204000.0,automatic,328305
Toyota,Camry Le,3950,1995,like new,4 ,gas,210000.0,automatic,337961
Honda,Accord Ex 4Cyl,5950,2006,excellent,4 ,gas,209000.0,automatic,336352
Honda,Cr-V,2850,2002,good,4 ,gas,242785.0,automatic,390723
Toyota,Tacoma,8500,1997,,,gas,232000.0,automatic,373366
Toyota,Tundra,55075,2019,,,other,22538.0,automatic,36271
Toyota,Corolla S,13500,2016,excellent,4 ,gas,82000.0,automatic,131965
Toyota,Camry,26500,2018,excellent,4 ,hybrid,43500.0,automatic,70006
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Toyota,Sequoia Sr5 Sport Utility,32990,2015,good,,other,67498.0,other,108627
Toyota,Corolla,21500,2020,,,hybrid,23000.0,automatic,37014
Honda,Accord Ex-L,5999,2007,like new,4 ,gas,159000.0,automatic,255885
Honda,Cr-V Ex-L,7699,2007,excellent,4 ,gas,171000.0,automatic,275197
Honda,Crv Cr-V 4Wd,7995,2009,,4 ,gas,156486.0,automatic,251839
Honda,Crv Cr-V,4999,2002,,4 ,gas,194497.0,automatic,313011
Toyota,Tacoma,16499,2005,excellent,,gas,114484.0,manual,184243
Toyota,Tacoma,18999,2007,excellent,,gas,128696.0,manual,207115
Toyota,Tacoma,10995,2002,excellent,4 ,gas,218858.0,manual,352216
Toyota,Tacoma,20995,2005,like new,6 ,gas,116067.0,automatic,186791
Toyota,Sienna Limited,18995,2013,,,gas,101413.0,automatic,163207
Toyota,Matrix Xr Hatchback,5950,2003,excellent,4 ,gas,202000.0,automatic,325086
Toyota,Mr2,16995,2003,like new,4 ,gas,39800.0,manual,64051
Honda,Accord Sport Se,17990,2017,excellent,4 ,gas,77782.0,automatic,125177
Honda,Accord Ex 4Cyl,5950,2006,excellent,4 ,gas,209000.0,automatic,336352
Toyota,"Tundra Sr5 4Dr Double Cab 1-Owner*Rust Free*Only 112K Miles*New Water Pump & Timing Belt*New Bilstein-Toytec Lift*New 33"" Yokohama Tires*Like New In&Out*0-Accidents",25997,2006,,8 ,gas,112215.0,automatic,180592
Toyota,Tacoma,0,2010,,,other,14229.0,manual,22899
Honda,Element Ex,14990,2006,excellent,4 ,gas,94794.0,automatic,152555
Toyota,Liteace,12000,1996,,4 ,diesel,40472.0,automatic,65133
Honda,Ridgeline Sport,23990,2013,excellent,6 ,gas,80951.0,automatic,130277
Toyota,Rav4,9995,2010,good,6 ,gas,152649.0,automatic,245664
Honda,Civic Lx,15995,2019,good,4 ,gas,7914.0,automatic,12736
