manufacturer,model,price,year,condition,cylinders,fuel,odometer,transmission,odometer_km
Toyota,Camry Xle,4500,2005,like new,4 ,gas,170000.0,automatic,273587
Honda,Odyssey,5980,2006,,6 ,gas,167440.0,automatic,269467
Honda,Civic Si Coupe 2D,26590,2020,good,,gas,9954.0,other,16019
Toyota,Camry,3500,2003,good,4 ,gas,237000.0,automatic,381413
Honda,Crosstour Ex-L,14500,2015,excellent,,gas,60201.0,automatic,96883
Honda,Accord Sedan,3999,2006,,4 ,gas,253076.0,automatic,407285
Toyota,Tacoma Double Cab Pickup,29990,2012,good,6 ,gas,43182.0,other,69494
Toyota,Tacoma,30292,2017,,,gas,48697.0,automatic,78370
Toyota,Avalon,6980,2008,,,gas,158000.0,automatic,254275
Honda,Accord Sedan,4425,2004,,4 ,gas,192275.0,automatic,309435
Toyota,Corolla,3450,2006,,4 ,gas,206058.0,automatic,331617
Honda,Civic Type R,39888,2019,like new,,gas,9528.0,manual,15333
Toyota,Corolla,16902,2020,,,gas,11692.0,automatic,18816
Toyota,Camry,18877,2017,,,gas,52822.0,automatic,85008
Honda,Accord,1500,2002,,,gas,168000.0,automatic,270369
Toyota,4Runner Limited,20000,2010,excellent,6 ,gas,113750.0,automatic,183062
Honda,Odyssey Exl,5980,2006,,,gas,167000.0,automatic,268759
Toyota,Tacoma,10750,2006,good,6 ,gas,223160.0,automatic,359140
Toyota,Camry,24958,2020,,,gas,4862.0,automatic,7824
Toyota,4Runner 4Wd,19900,2014,excellent,6 ,gas,231000.0,automatic,371757
Toyota,Camry,4499,2005,,4 ,gas,170687.0,automatic,274693
Honda,Cr-V Lx,13900,2013,good,4 ,gas,86933.0,automatic,139904
Toyota,Camry,3800,2000,,4 ,gas,164814.0,automatic,265241
Toyota,Camry,20989,2019,,,gas,43464.0,automatic,69948
Honda,Cr-V,15108,2016,,,gas,92347.0,automatic,148617
Toyota,Prius,3450,2007,,4 ,,263198.0,automatic,423575
Toyota,Land Cruiser Prado,0,1992,excellent,4 ,diesel,160000.0,automatic,257494
Toyota,Highlander,14977,2013,,,gas,123804.0,automatic,199242
Toyota,Tacoma,26990,2016,,6 ,gas,102089.0,automatic,164295
Toyota,Avalon,6980,2008,,6 ,gas,158888.0,automatic,255704
Toyota,Avalon,20900,2016,excellent,6 ,gas,100318.0,automatic,161445
Toyota,Land Cruiser,35000,1978,good,8 ,gas,1000000.0,manual,1609340
Honda,Accord Sedan,3999,2006,,4 ,gas,253076.0,automatic,407285
Toyota,Tacoma,45531,2019,,,gas,15295.0,automatic,24614
Honda,Accord Sedan,4425,2004,,4 ,gas,192275.0,automatic,309435
Honda,Crv Ex,12950,2011,excellent,4 ,gas,87994.0,automatic,141612
Toyota,Tacoma Double Cab,16950,2007,good,6 ,gas,156792.0,automatic,252331
Toyota,Sienna Xle,6599,2010,good,6 ,gas,174000.0,automatic,280025
Toyota,Camry,4000,2002,like new,4 ,gas,160000.0,automatic,257494
Toyota,Camry,17989,2015,,,gas,65381.0,automatic,105220
Toyota,4Runner,18477,2011,,,gas,172921.0,automatic,278288
Toyota,Camry,5600,2008,good,4 ,diesel,133244.0,automatic,214434
Toyota,Camry Solara,7977,2007,,,gas,117148.0,automatic,188530
Honda,Accord,3500,2003,good,4 ,gas,201580.0,automatic,324410
Honda,Acty,9990,1991,good,3 ,gas,38700.0,other,62281
Honda,Civic Ex,3950,2003,excellent,4 ,gas,236890.0,automatic,381236
Toyota,Corolla,21334,2021,,,gas,7277.0,automatic,11711
Toyota,Camry Xle,6500,2011,good,6 ,gas,214000.0,automatic,344398
Toyota,Camry,17989,2018,,,gas,120943.0,automatic,194638
Honda,Accord,19425,2017,,,gas,34539.0,automatic,55584
Toyota,Prius,13595,2013,,,gas,39949.0,automatic,64291
Honda,Odyssey,3500,2005,,6 ,gas,197742.0,automatic,318234
Honda,Civic,6000,2012,,4 ,gas,120000.0,automatic,193120
Honda,Civic Exl,6950,2008,excellent,4 ,gas,135000.0,automatic,217260
Honda,Accord,5950,2008,excellent,4 ,gas,190000.0,automatic,305774
Toyota,Corolla Le,6350,2013,excellent,4 ,gas,184000.0,automatic,296118
Honda,Pilot,0,2020,excellent,6 ,gas,15299.0,automatic,24621
Honda,Accord,6500,2010,good,,gas,174000.0,automatic,280025
Toyota,Highlander Limited Awd,0,2014,like new,6 ,gas,88000.0,automatic,141621
Honda,Civic,4500,2006,good,4 ,gas,170000.0,automatic,273587
Honda,Odyssey,4200,2007,good,6 ,gas,195000.0,automatic,313821
Honda,Accord Sedan,16990,2015,,6 ,gas,82023.0,automatic,132002
Honda,Civic,3900,2001,,4 ,gas,144000.0,automatic,231744
Toyota,Yaris,5500,2007,excellent,4 ,gas,51000.0,manual,82076
Toyota,4Runner Limited,41990,2019,good,6 ,gas,32326.0,other,52023
Toyota,Camry Le Sedan 4D,18590,2017,good,,gas,30223.0,other,48639
Toyota,Yaris,7988,2014,,,gas,94109.0,automatic,151453
Honda,Accord Sedan,3999,2006,,4 ,gas,253076.0,automatic,407285
Honda,Accord Sedan,4425,2004,,4 ,gas,192275.0,automatic,309435
Toyota,Tundra,49897,2021,,8 ,gas,15965.0,other,25693
Honda,Accord Sedan,3600,2002,,4 ,gas,272068.0,automatic,437849
Honda,Cr-V,16427,2014,,,gas,59216.0,automatic,95298
Honda,Pilot,23663,2017,,,gas,100357.0,automatic,161508
Toyota,Tacoma,30292,2017,,,gas,48697.0,automatic,78370
Honda,Accord,4477,2000,,,gas,129865.0,automatic,208996
Toyota,Camry,3500,2003,good,4 ,gas,237000.0,automatic,381413
Honda,Accord,3500,1991,,4 ,gas,153919.0,automatic,247708
Toyota,Highlander Limited Awd,0,2014,like new,6 ,gas,80000.0,automatic,128747
Toyota,Prius Prius V,9995,2011,,,,104087.0,other,167511
Honda,Civic Type R,39888,2019,like new,,gas,9528.0,manual,15333
Toyota,Corolla,16902,2020,,,gas,11692.0,automatic,18816
Honda,Crv Ex Awd,3200,1997,good,4 ,gas,155000.0,automatic,249447
Toyota,4Runner,12000,2008,good,,gas,196000.0,automatic,315430
Honda,Civic Sedan,0,2006,,4 ,gas,166822.0,automatic,268473
Toyota,4Runner Sr5,7450,2004,like new,6 ,gas,218000.0,automatic,350836
Toyota,Corolla,19275,2020,,,gas,11314.0,automatic,18208
Toyota,Camry,24958,2020,,,gas,4862.0,automatic,7824
Honda,Civic Ex,3950,2003,excellent,4 ,gas,236890.0,automatic,381236
Toyota,4Runner Trd Pro 4X4,39990,2018,like new,6 ,gas,44000.0,automatic,70810
Toyota,Tacoma 4Wd,40900,2021,good,6 ,gas,1582.0,automatic,2545
Toyota,Avalon,6980,2008,,,gas,158000.0,automatic,254275
Toyota,Corolla Le,4000,2002,like new,4 ,gas,125000.0,automatic,201167
Honda,Odyssey,4200,2007,good,6 ,gas,195000.0,automatic,313821
Toyota,4Runner 4Wd,4800,1996,good,6 ,gas,314000.0,automatic,505332
Toyota,Rav4,0,2018,excellent,4 ,gas,29594.0,automatic,47626
Toyota,Camry,20989,2019,,,gas,43464.0,automatic,69948
Toyota,Sienna,5980,2008,,6 ,gas,212579.0,automatic,342111
Toyota,Hilux,21500,1990,new,4 ,diesel,72000.0,manual,115872
Toyota,Tundra Double Cab Sr,30990,2017,good,8 ,gas,41124.0,other,66182
Toyota,Tacoma,12345,1997,,6 ,gas,255000.0,manual,410381
Honda,Crv Touring Suv,27345,2019,,,gas,23005.0,automatic,37022
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,Sienna Xle,10400,2011,excellent,6 ,gas,159400.0,automatic,256528
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Toyota,4Runner Sr5 Sport Utility,31590,2018,good,6 ,gas,62496.0,other,100577
Honda,Accord,3500,2004,good,,gas,212795.0,automatic,342459
Toyota,Corolla,10075,2012,excellent,4 ,gas,111000.0,automatic,178636
Toyota,Camry,24000,2018,,,gas,38000.0,automatic,61154
Toyota,Camry Se,17998,2017,excellent,,gas,43184.0,automatic,69497
Honda,Accord Sport,24000,2018,excellent,4 ,gas,49300.0,automatic,79340
Toyota,Tacoma Double Cab Pickup,27990,2012,good,6 ,gas,67245.0,other,108220
Toyota,Tundra Double Cab Pickup,31990,2013,good,8 ,gas,55068.0,other,88623
Toyota,Tacoma Access Cab Pickup,22990,2012,good,,gas,37725.0,other,60712
Honda,Civic Si Coupe 2D,26590,2020,good,,gas,9954.0,other,16019
Honda,Civic Lx Sedan 4D,18590,2018,good,,gas,28942.0,other,46577
Honda,Civic Ex Sedan 4D,21590,2018,good,,gas,7885.0,other,12689
Toyota,Tundra Crewmax,24500,2010,excellent,8 ,gas,81100.0,automatic,130517
Toyota,Camry Solara Convertible,3800,2003,,,gas,150042.0,automatic,241468
Toyota,Tacoma Double Cab,25990,2013,good,,other,64919.0,other,104476
Toyota,4Runner Sr5 Sport Utility,36590,2019,good,,other,35204.0,other,56655
Toyota,Tacoma Access Cab Sr,25990,2017,good,,gas,22820.0,other,36725
Toyota,Tacoma Access Cab Pickup,27590,2013,good,,other,43937.0,other,70709
Honda,Civic,9300,2012,,,gas,100600.0,automatic,161899
Honda,Accord,4500,1994,good,4 ,gas,184000.0,manual,296118
Honda,Accord Sedan Lx,9079,2014,,,gas,120569.0,automatic,194036
Toyota,Camry Le Sedan 4D,18590,2017,good,,gas,30223.0,other,48639
Honda,Accord Touring 2.0T,32498,2020,excellent,,gas,36170.0,automatic,58209
Toyota,4Runner Sr5 Sport Utility,35990,2020,good,6 ,gas,33556.0,other,54003
Toyota,4Runner Sr5 Sport Utility,39590,2020,good,6 ,gas,3110.0,other,5005
Toyota,Tacoma Access Cab Sr5,25990,2016,good,,other,79393.0,other,127770
Toyota,Highlander Xle,34998,2019,excellent,,gas,20252.0,automatic,32592
Toyota,Tacoma Access Cab Sr5,26990,2020,good,,gas,8625.0,other,13880
Toyota,Camry Xle,20998,2018,excellent,,gas,55610.0,automatic,89495
Toyota,Tacoma Double Cab,30990,2015,good,6 ,gas,34375.0,other,55321
Honda,Accord,2650,1998,,4 ,gas,156000.0,automatic,251057
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,4Runner Sr5 Sport Utility,36990,2018,good,6 ,gas,21415.0,other,34464
Toyota,Tundra Double Cab Sr,30990,2017,good,8 ,gas,41124.0,other,66182
Honda,Odyssey,13500,2012,excellent,6 ,gas,138258.0,automatic,222504
Toyota,Tacoma Access Cab Pickup,22990,2012,good,,gas,37725.0,other,60712
Toyota,Highlander,15900,2013,like new,6 ,gas,120000.0,automatic,193120
Toyota,Tacoma Double Cab Pickup,29990,2012,good,6 ,gas,43182.0,other,69494
Honda,Cr-V Ex,13690,2014,,,gas,103669.0,automatic,166838
Toyota,Avalon Ylimited,11900,2013,excellent,,gas,132000.0,automatic,212432
Toyota,Tacoma Access Cab Pickup,27590,2013,good,,other,43937.0,other,70709
Toyota,Tacoma Access Cab Sr,25990,2017,good,,gas,22820.0,other,36725
Toyota,Camry Le Sedan 4D,18590,2017,good,,gas,30223.0,other,48639
Toyota,Tacoma Access Cab,21990,2013,good,,other,77018.0,other,123948
Toyota,Tacoma Access Cab Sr5,25990,2016,good,,other,79393.0,other,127770
Toyota,Prius Prius V,9995,2011,,,,104087.0,other,167511
Toyota,Highlander,0,2018,excellent,6 ,gas,42661.0,automatic,68656
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Toyota,Tacoma Double Cab Sr5,30590,2016,good,,other,30176.0,other,48563
Honda,Pilot,3900,2009,good,,gas,228000.0,automatic,366929
Toyota,Tundra Double Cab Sr,30990,2017,good,8 ,gas,41124.0,other,66182
Honda,Pilot,0,2015,excellent,6 ,gas,117034.0,automatic,188347
Honda,Pilot Ex,9500,2010,excellent,6 ,gas,166129.0,automatic,267358
Toyota,Tacoma Access Cab Pickup,22990,2012,good,,gas,37725.0,other,60712
Honda,Civic Si Coupe 2D,26590,2020,good,,gas,9954.0,other,16019
Honda,Civic Ex Sedan 4D,21590,2018,good,,gas,7885.0,other,12689
Honda,Civic Lx Sedan 4D,18990,2018,good,,other,31419.0,other,50563
Honda,Accord Ex,700,1996,fair,4 ,gas,274250.0,automatic,441361
Toyota,Tacoma Double Cab Pickup,29990,2012,good,6 ,gas,43182.0,other,69494
Toyota,Rav4,0,2018,excellent,4 ,gas,26804.0,automatic,43136
Honda,Accord,1,2001,,,gas,210000.0,automatic,337961
Honda,Accord,1,2006,,,gas,166000.0,automatic,267150
Toyota,Camry,1000,2006,fair,4 ,gas,250000.0,automatic,402335
Toyota,Rav4,4600,2002,,,gas,195000.0,automatic,313821
Toyota,Camry Le Sedan 4D,18590,2017,good,,gas,30223.0,other,48639
Toyota,Camry Se,7400,2011,,4 ,gas,192000.0,automatic,308993
Honda,Cr V,0,2019,excellent,4 ,gas,9546.0,automatic,15362
Toyota,Camry,1,2002,,,gas,165000.0,automatic,265541
Toyota,Corolla,7850,2014,good,4 ,gas,87321.0,automatic,140529
Honda,Accord Ex,2500,2003,good,4 ,gas,277958.0,automatic,447328
Toyota,Corolla,6800,2012,excellent,4 ,gas,137454.0,manual,221210
Toyota,Tacoma,16900,2006,,,gas,143000.0,automatic,230135
Toyota,4Runner Sr5 Sport Utility,35990,2018,good,6 ,gas,29245.0,other,47065
Honda,Odyssey Touring Elite,27800,2018,excellent,,gas,32800.0,automatic,52786
Toyota,Tacoma,7800,1999,good,4 ,gas,242068.0,automatic,389569
Honda,Civic,6999,2012,good,4 ,gas,120800.0,automatic,194408
Honda,Accord,4300,2004,excellent,4 ,gas,180000.0,automatic,289681
Honda,Accord Se,5500,2007,good,4 ,gas,155000.0,manual,249447
